Material,Length,Count,Comments
"Trim 4""",159,1,Baseboard
"Trim 4""",50,1,
"Trim 4""",50,1,
"Trim 4""",145,1,
"Trim 4""",10,1,
"Trim 4""",10,1,
"Trim 4""",102,1,
"Trim 4""",18,1,
"Trim 4""",31,1,
"Trim 4""",67,1,
"Trim 4""",128,1,
"Trim 4""",128,1,
"Trim 4""",18,1,
"Trim 4""",18,1,
"Trim 4""",174,1,
"Trim 4""",21,1,
"Trim 4""",30,1,
"Trim 4""",84,1,
"Trim 4""",30,1,
"Trim 4""",42,1,
"Trim 4""",12,1,
"Trim 4""",132,1,
"Trim 4""",9,1,
"Trim 4""",9,1,
"Trim 4""",60,1,
"Trim 4""",60,1,
"Trim 4""",36,1,
"Trim 4""",27,1,
"Trim 4""",6,1,
"Trim 4""",6,1,
"Trim 4""",6,1,
"Trim 4""",6,1,
"Trim 4""",64,1,
"Trim 4""",60,1,
"Trim 4""",40,1,
"Trim 4""",35,1,
"Trim 4""",34,1,
"Trim 4""",12,1,
"Trim 4""",3,1,
"Trim 4""",124,1,
"Trim 4""",63,1,
"Trim 4""",156,1,
"Trim 4""",6,1,
"Trim 4""",144,1,
"Trim 4""",40,1,
"Trim 4""",6,1,
"Trim 4""",108,1,
"Trim 4""",3,1,
"Trim 4""",9,1,
"Trim 4""",3,1,
"Trim 4""",3,1,
"Trim 4""",37,1,
"Trim 4""",48,1,
"Trim 4""",52,1,
"Trim 4""",48,1,
"Trim 4""",21,1,
"Trim 4""",21,1,
"Trim 4""",140,1,
"Trim 4""",120,1,
"Trim 4""",106,1,
"Trim 4""",18,1,
"Trim 4""",12,1,
"Trim 4""",98,1,
"Trim 4""",126,1,
"Trim 4""",130,1,
"Trim 4""",30,1,
"Trim 4""",35,1,
"Trim 4""",30,1,
"Trim 4""",24,1,
"Trim 4""",117,1,
"Trim 4""",7,1,
"Trim 4""",24,1,
"Trim 4""",25,1,
"Trim 4""",19,1,
"Trim 4""",23,1,
"Trim 4""",100,1,
"Trim 4""",40,1,
"Trim 4""",128,1,
"Trim 4""",12,1,
"Trim 4""",3,1,
"Trim 4""",3,1,
"Trim 4""",22,1,
"Trim 4""",81,1,
"Trim 4""",27,1,
"Trim 4""",144,1,
"Trim 4""",203,1,
"Trim 4""",165,1,
"Trim 4""",3,1,
"Trim 4""",124,1,
"Trim 4""",140,1,
"Trim 4""",48,1,
"Trim 4""",35,1,
"Trim 4""",10,1,
"Trim 4""",3,1,
"Trim 4""",29,1,
"Trim 4""",70,1,
"Trim 4""",29,1,
"Trim 4""",6,1,
"Trim 4""",6,1,
"Trim 4""",72,1,
"Trim 4""",17,1,
"Trim 4""",41,1,
"Trim 4""",40,1,
"Trim 4""",3,1,
"Trim 4""",29,1,
"Trim 4""",29,1,
"Trim 4""",66,1,
"Trim 4""",116,1,
"Trim 4""",66,1,
"Trim 4""",60,1,
"Trim 4""",31,1,
"Trim 4""",36,1,
"Trim 4""",15,1,
"Trim 4""",37,1,
"Trim 4""",36,1,
"Trim 4""",68,1,
"Trim 4""",35,1,
"Trim 4""",3,1,
"Trim 4""",24,1,
"Trim 4""",49,1,
"Trim 4""",24,1,
"Trim 4""",9,1,
"Trim 4""",9,1,
"Trim 3""",40,1,Windows top
"Trim 3""",100,1,
"Trim 3""",76,1,
"Trim 3""",52,1,
"Trim 3""",76,1,
"Trim 3""",76,1,
"Trim 3""",28,1,
"Trim 3""",100,1,
"Trim 3""",76,1,
"Trim 3""",76,1,
"Trim 3""",76,1,
"Trim 3""",40,1,
"Trim 3""",38,2,"Doors top, 6"" stickout"
"Trim 3""",35,2,
"Trim 3""",33,2,
"Trim 3""",36,2,
"Trim 3""",42,2,
"Trim 3""",98,2,
"Trim 3""",36,2,
"Trim 3""",41,2,
"Trim 3""",66,2,
"Trim 3""",36,2,
"Trim 3""",67,2,
"Trim 3""",35,2,
"Trim 3""",35,2,
"Trim 3""",33,2,
"Trim 3""",34,2,
"Trim 3""",36,2,
"Trim 3""",51,2,
"Trim 3""",36,2,
"Trim 3""",34,2,
"Trim 3""",41,2,
"Trim 3""",98,2,Handrail
"Trim 3""",40,2,Handrail
"Trim 2""",58,2,Windows vertical
"Trim 2""",58,2,
"Trim 2""",40,2,
"Trim 2""",58,2,
"Trim 2""",76,2,
"Trim 2""",40,2,
"Trim 2""",46,2,
"Trim 2""",38,2,
"Trim 2""",40,2,
"Trim 2""",46,2,
"Trim 2""",46,2,
"Trim 2""",34,2,
"Trim 2""",81,72,Doors vertical
"Trim 2""",39,1,"Windows bottom, 5"" stickout"
"Trim 2""",99,1,
"Trim 2""",75,1,
"Trim 2""",51,1,
"Trim 2""",75,1,
"Trim 2""",75,1,
"Trim 2""",27,1,
"Trim 2""",99,1,
"Trim 2""",75,1,
"Trim 2""",75,1,
"Trim 2""",75,1,
"Trim 2""",39,1,
"Trim 3"" 3/4""",6,76,Door butts
